Names,Runs,Innings,Average
Lance Gibbs,0,1,-
Vanburn Holder,64,6,12.80
Bernard Julien,86,8,14.33
Alvin Kallicharran,826,28,34.41
Rohan Kanhai,164,5,54.66
Clive Lloyd,1977,69,39.54
Deryck Murray,294,17,24.50
Garfield Sobers,0,1,0.00
Ron Headley,19,1,19.00
David Murray,45,7,9.00
Viv Richards,6721,167,47.00
Andy Roberts,231,32,10.04
Gordon Greenidge,5134,127,45.03
Lawrence Rowe,136,8,17.00
Michael Holding,282,42,9.09
Collis King,280,14,23.33
Colin Croft,18,6,9.00
Joel Garner,239,41,9.19
Richard Austin,8,1,8.00
Faoud Bacchus,612,26,26.60
Wayne Daniel,49,5,49.00
Desmond Haynes,8648,237,41.37
Irvine Shillingford,30,2,15.00
Sylvester Clarke,60,8,10.00
Larry Gomes,1415,64,28.87
Alvin Greenidge,23,1,23.00
Derick Parry,61,5,15.25
Norbert Phillip,0,1,0.00
Sew Shivnarine,20,1,-
Malcolm Marshall,955,83,14.92
Milton Pydanna,2,1,0
Everton Mattis,86,2,43.00
Jeff Dujon,1945,120,23.15
Gus Logie,2809,133,28.95
Winston Davis,28,5,14.00
Eldine Baptiste,184,16,15.33
Roger Harper,855,73,16.13
Richie Richardson,6248,217,33.41
Richard Gabriel,167,11,15.18
Milton Small,-,0,-
Thelston Payne,126,4,31.50
Courtney Walsh,321,79,6.97
Tony Gray,51,11,8.50
Patrick Patterson,44,20,8.80
Carlisle Best,473,23,24.89
Winston Benjamin,298,52,7.45
Carl Hooper,5761,206,35.34
Phil Simmons,3675,138,28.93
David Williams,147,23,9.18
Curtly Ambrose,639,96,10.65
Ian Bishop,405,44,16.20
Keith Arthurton,1904,93,26.08
Robert Haynes,26,6,5.20
Ezra Moseley,7,6,1.75
Clayton Lambert1,368,11,33.45
Brian Lara2,10348,285,40.90
Anderson Cummins,459,41,15.30
Philo Wallace,701,33,21.24
Kenneth Benjamin,65,13,10.83
Junior Murray,678,36,22.60
Jimmy Adams,2204,105,28.62
Roland Holder,599,31,23.96
Shivnarine Chanderpaul,8778,251,41.60
Cameron Cuffy,62,22,4.42
Stuart Williams,1586,55,32.36
Barrington Browne,8,3,8.00
Sherwin Campbell,2283,87,26.24
Rajindra Dhanraj,8,2,8.00
Vasbert Drakes,94,17,7.83
Ottis Gibson,141,11,14.10
Hamish Anthony,23,3,7.66
Courtney Browne,415,32,17.29
Ridley Jacobs,1865,112,23.31
Laurie Williams,124,13,11.27
Nixon McLean,314,34,12.07
Robert Samuels,54,5,18.00
Adrian Griffith,99,8,14.14
Patterson Thompson,2,1,2.00
Franklyn Rose,217,23,12.05
Dinanath Ramnarine,5,3,1.66
Floyd Reifer,117,8,14.62
Rawl Lewis,291,21,18.18
Mervyn Dillon,227,51,7.32
Neil McGarrell,60,10,7.50
Carl Tuckett,-,0,-
Reon King,65,23,7.22
Keith Semple,64,6,10.66
Daren Ganga,843,34,25.54
Henderson Bryan,43,8,7.16
Nehemiah Perry,212,16,26.50
Ricardo Powell,2085,100,24.82
Wavell Hinds,2880,111,28.51
Corey Collymore,104,35,5.77
Chris Gayle2,10096,280,38.38
Pedro Collins,30,12,4.28
Sylvester Joseph,161,11,16.10
Mahendra Nagamootoo,162,18,13.50
Ramnaresh Sarwan,5804,169,42.67
Kerry Jeremy,17,4,8.50
Marlon Samuels,5606,196,32.97
Marlon Black,4,2,2.00
Colin Stuart,3,1,-
Leon Garrick,99,3,33.00
Jermaine Lawson,18,5,6.00
Darryl Brown,10,2,10.00
Ryan Hinds,101,9,16.83
Runako Morton,1519,51,33.75
Daren Powell,118,25,5.36
Omari Banks,83,5,16.60
Carlton Baugh,482,35,20.08
Devon Smith,1059,45,24.62
Ryan Hurley,13,4,3.25
David Bernard,7,2,3.50
Jerome Taylor,278,42,8.42
Ravi Rampaul,362,40,12.48
Fidel Edwards,73,22,9.12
Dwayne Smith,1560,89,18.57
Dwayne Bravo,2968,141,25.36
Ian Bradshaw,287,34,12.47
Tino Best,76,16,9.50
Darren Sammy,1871,105,24.94
Xavier Marshall1,375,24,17.85
Narsingh Deonarine,682,29,26.23
Denesh Ramdin,2200,110,25.00
Deighton Butler,25,4,25.00
Ryan Ramdass,1,1,1.00
Sewnarine Chattergoon,370,17,24.66
Dave Mohammed,0,1,-
Lendl Simmons,1958,65,31.58
Rayad Emrit,13,2,13.00
Kieron Pollard,2289,95,25.71
Austin Richards,2,1,2.00
Brenton Parchment,122,7,17.42
Patrick Browne,134,5,33.50
Sulieman Benn,182,30,7.91
Andre Fletcher,354,25,14.16
Shawn Findlay,146,8,20.85
Nikita Miller,284,27,20.28
Leon Johnson,98,6,16.33
Brendan Nash,104,7,26.00
Kemar Roach,280,54,13.33
Lionel Baker,13,4,6.50
Darren Bravo,2820,103,31.33
Travis Dowlin,228,11,25.33
Nelon Pascal,0,1,0.00
Dale Richards,179,7,25.57
Devon Thomas,238,19,14.00
Gavin Tonge,10,4,5.00
Kieran Powell,1005,44,22.84
Chadwick Walton,53,8,6.62
Royston Crandon,5,1,5.00
Adrian Barath,394,14,30.30
Andre Russell,998,44,28.51
Devendra Bishoo,164,25,10.93
Kirk Edwards,331,16,23.64
Anthony Martin,10,6,10.00
Danza Hyatt,112,9,14.00
Carlos Brathwaite,389,29,14.40
Sunil Narine,363,45,11.00
Jason Mohammed,551,24,23.95
Johnson Charles,1283,48,26.72
Veerasammy Permaul,19,4,6.33
Jason Holder,1574,77,26.23
Miguel Cummins,10,3,5.00
Jonathan Carter,581,28,23.24
Sheldon Cottrell,26,7,13.00
Jermaine Blackwood,11,2,5.50
Shannon Gabriel,21,14,3.50
Kraigg Brathwaite,278,10,27.80
Alzarri Joseph,104,8,34.66
Evin Lewis,1010,32,32.58
Shai Hope,2247,50,51.06
Ashley Nurse,482,38,19.28
Rovman Powell,670,31,23.92
Roston Chase,233,12,21.18
Kyle Hope,138,6,23.00
Kesrick Williams,19,5,19.00
Sunil Ambris,316,5,105.33
Ronsford Beaton,15,2,15.00
Shimron Hetmyer,899,24,40.86
Keemo Paul,115,9,16.42
Chandrapaul Hemraj,82,6,13.66
Oshane Thomas,0,3,0.00
Obed McCoy,0,1,-
Fabian Allen,32,6,6.40
John Campbell,248,5,49.60
Nicholas Pooran,0,1,0.00
Shane Dowrich,6,1,6.00
Raymon Reifer,7,1,7.00
