Names,Runs,Innings,Average
"Treadwell Gibbons
","33
","2
","16.50
"
"Kevin Hurdle
","85
","19
","10.62
"
"Ryan Steede
","70
","8
","11.66
"
"Delyone Borden
","98
","12
","14.00
"
"Steven Outerbridge
","336
","23
","14.60
"
"Clay Smith
","192
","12
","16.00
"
"David Hemp
","641
","22
","33.73
"
"Malachi Jones
","113
","12
","11.30
"
"Stefan Kelly
","14
","10
","–
"
"Arthur Pitcher
","20
","3
","6.66
"
"Oliver Pitcher
","72
","5
","14.40
"
"Dwight Basden 
","12
","2
","6.00
"
"James Celestine
","60
","8
","7.50
"
"Jekon Edness 
","252
","11
","28.00
"
"Jacobi Robinson
","27
","3
","13.50
"
"Chris Lonsdale
","4
","1
","4.00
"
"Rodney Trott
","130
","11
","21.66
"
"Kyle Hodsoll
","2
","3
","2.00
"
"Oronde Bascome
","65
","6
","10.83
"
"Chris Foggo
","106
","4
","26.50
"
"Tamauri Tucker
","–
","5
","–
"
"Dennico Hollis
","15
","1
","–
"
"McLaren Smith
","–
","1
","–
"
"Chris Douglas
","122
","2
","61.00
"
"Glenn Blakeney
","72
","2
","36.00
"
"Fiqre Crockwell 
","68
","2
","34.00
"
"Christopher Chappell
",38,3,12.66
"Franklyn Dennis
",47,3,15.66
"Cornelius Henry
",6,2,6.00
"Cecil Marshall
",10,2,5.00
"Bryan Mauricette 
",20,3,6.66
"Jitendra Patel
",3,3,1.00
"Glenroy Sealy
",73,3,24.33
"Martin Stead
",10,2,5.00
" Tariq Javed
",15,3,5.00
"John Valentine
",3,3,–
"John Vaughan
",30,3,10.00
"Robert Callender
",0,2,0.00
"Charles Baksh
",0,1,0.00
"Ashish Bagai 
","1,964",62,37.76
"Ian Billcliff
",529,19,27.84
"Desmond Chumney
",397,21,20.89
"Austin Codrington
",47,9,5.87
"John Davison 
",799,32,26.63
"Nicholas de Groot
",44,6,7.33
"Joseph Harris 
",91,6,15.16
"Davis Joseph
",13,4,–
"Ishwar Maraj
",98,6,19.60
"Abdul Sattaur
",20,3,6.66
"Sanjayan Thuraisingam
",45,10,6.42
"Barry Seebaran
",4,4,4.00
"Nicholas Ifill
",16,4,5.33
"Ashish Patel
",25,2,25.00
"Abdool Samad
",740,27,29.60
"Geoff Barnett
",455,22,20.68
"Umar Bhatti 
",378,36,17.18
"Sunil Dhaniram 
",915,44,24.72
"Haninder Dhillon
",14,2,7.00
"Stewart Heaney
",41,4,10.25
"Henry Osinde
",64,42,4.26
"Kevin Sandher
",35,15,5.83
"George Codrington 
",235,17,19.58
"Don Maxwell
",166,10,27.66
" Qaiser Ali 
",244,17,15.25
"Sandeep Jyoti
",264,14,22.00
"Surendra Seeraj 
",13,1,–
"Durand Soraine
",14,4,3.50
"Steven Welsh
",41,3,20.50
"Asif Mulla 
",482,24,20.08
"Anderson Cummins
",27,13,4.50
"Trevin Bastiampillai
",175,13,13.46
"Mohsin Mulla
",1,1,1.00
" Shahzad Khan
",4,1,4.00
" Abdul Jabbar
",59,2,29.50
"Calvert Hooper
",49,5,16.33
"Arvind Kandappah
",97,2,97.00
" Mohammad Iqbal
",54,5,10.80
"Jason Patraj
",21,2,10.50
"Aftab Shamshudeen
",3,1,3.00
"Harvir Baidwan
",220,32,14.66
"Zubin Surkari 
",328,23,17.26
" Sami Faridi
",19,3,9.50
"Ruvindu Gunasekera
",455,19,23.94
"Eion Katchay
",23,5,11.50
"Manoj David
",82,4,27.33
"Karun Jethi
",87,3,43.50
" Rizwan Cheema 
",764,33,24.64
" Balaji Rao
",59,10,7.37
" Khurram Chohan
",165,25,12.69
"Shaheed Keshvani
",21,5,10.50
"Zameer Zahir
",3,1,–
"Hiral Patel
",468,23,21.27
"Jawad Dawood 
",25,2,–
" Usman Limbada
",189,11,18.90
"Nitish Kumar
",217,16,15.50
"Parth Desai
",8,13,2.66
"Jimmy Hansra 
",421,24,23.38
"Tyson Gordon
",27,5,5.40
"Karl Whatham
",18,1,18.00
" Hamza Tariq 
",116,7,16.57
" Junaid Siddiqui
",67,9,13.40
"Rustam Bhatti 
",3,1,–
